provider_id,organization_id,market_code,region,provider_specialty,care_setting,academic_flag,annual_prostate_volume,multidisciplinary_team_flag,synthetic_provider_flag
PR-US-00000,ORG-US-000,US,Northeast,urology,community_urology,False,223,False,True
PR-US-00001,ORG-US-001,US,West,medical_oncology,community_oncology,False,303,False,True
PR-US-00002,ORG-US-002,US,West,radiation_oncology,academic_oncology,True,437,True,True
PR-US-00003,ORG-US-003,US,South,radiation_oncology,academic_oncology,True,217,True,True
PR-US-00004,ORG-US-004,US,West,urology,mixed_pathway,False,297,True,True
PR-US-00005,ORG-US-005,US,Midwest,urology,community_urology,False,109,False,True
PR-US-00006,ORG-US-006,US,Northeast,medical_oncology,academic_oncology,True,337,True,True
PR-US-00007,ORG-US-007,US,Midwest,urology,academic_oncology,True,179,True,True
PR-US-00008,ORG-US-008,US,Northeast,medical_oncology,community_oncology,False,198,False,True
PR-US-00009,ORG-US-009,US,South,primary_care,community_urology,False,122,False,True
PR-US-00010,ORG-US-010,US,South,medical_oncology,community_oncology,False,180,False,True
PR-US-00011,ORG-US-011,US,Northeast,urology,mixed_pathway,False,236,True,True
PR-US-00012,ORG-US-002,US,West,radiation_oncology,academic_oncology,True,187,True,True
PR-US-00013,ORG-US-005,US,Midwest,urology,community_urology,False,203,False,True
PR-US-00014,ORG-US-008,US,Northeast,urology,community_oncology,False,281,False,True
PR-US-00015,ORG-US-012,US,West,urology,community_urology,False,108,False,True
PR-US-00016,ORG-US-003,US,South,radiation_oncology,academic_oncology,True,147,True,True
PR-US-00017,ORG-US-013,US,Midwest,medical_oncology,community_oncology,False,74,False,True
PR-US-00018,ORG-US-008,US,Northeast,medical_oncology,community_oncology,False,47,False,True
PR-US-00019,ORG-US-000,US,Northeast,urology,community_urology,False,117,False,True
PR-US-00020,ORG-US-007,US,Midwest,urology,academic_oncology,True,131,True,True
PR-DE-00000,ORG-DE-000,DE,East,urology,community_urology,False,82,False,True
PR-DE-00001,ORG-DE-001,DE,North,medical_oncology,academic_oncology,True,87,True,True
PR-DE-00002,ORG-DE-001,DE,North,radiation_oncology,academic_oncology,True,450,True,True
PR-DE-00003,ORG-DE-002,DE,East,urology,academic_oncology,True,477,True,True
PR-DE-00004,ORG-DE-003,DE,East,medical_oncology,community_oncology,False,59,False,True
PR-DE-00005,ORG-DE-004,DE,South,radiation_oncology,mixed_pathway,False,154,True,True
PR-DE-00006,ORG-DE-005,DE,West,radiation_oncology,mixed_pathway,False,46,True,True
PR-DE-00007,ORG-DE-006,DE,North,medical_oncology,mixed_pathway,False,263,True,True
PR-DE-00008,ORG-DE-007,DE,West,urology,academic_oncology,True,271,True,True
PR-DE-00009,ORG-DE-008,DE,West,medical_oncology,community_oncology,False,57,False,True
PR-DE-00010,ORG-DE-003,DE,East,medical_oncology,community_oncology,False,173,False,True
PR-DE-00011,ORG-DE-005,DE,West,radiation_oncology,mixed_pathway,False,352,True,True
PR-DE-00012,ORG-DE-005,DE,West,urology,mixed_pathway,False,191,True,True
PR-JP-00000,ORG-JP-000,JP,Hokkaido-Tohoku,urology,community_urology,False,185,False,True
PR-JP-00001,ORG-JP-001,JP,Hokkaido-Tohoku,medical_oncology,community_oncology,False,307,False,True
PR-JP-00002,ORG-JP-002,JP,Kanto,radiation_oncology,academic_oncology,True,243,True,True
PR-JP-00003,ORG-JP-003,JP,Kanto,medical_oncology,community_oncology,False,90,False,True
PR-JP-00004,ORG-JP-003,JP,Kanto,urology,community_oncology,False,348,False,True
PR-JP-00005,ORG-JP-004,JP,Chubu-Kansai,urology,community_urology,False,298,False,True
PR-JP-00006,ORG-JP-005,JP,Chubu-Kansai,medical_oncology,academic_oncology,True,201,True,True
PR-JP-00007,ORG-JP-006,JP,Hokkaido-Tohoku,urology,academic_oncology,True,234,True,True
PR-JP-00008,ORG-JP-007,JP,Kanto,urology,community_urology,False,348,False,True
