target,feature_name,permutation_importance_mean_pr_auc_drop,permutation_importance_sd,repeats
non_initiated_within_90_days,age_at_index,-0.00019353070710468324,0.0002525537389262829,20
non_initiated_within_90_days,comorbidity_score,-0.006977015097235667,0.015588224415400061,20
non_initiated_within_90_days,frailty_proxy,-0.0031517495000561585,0.0024089535133806537,20
non_initiated_within_90_days,access_index,0.004831380676802707,0.0034357370425779866,20
non_initiated_within_90_days,metastatic_site,-0.00895076030756376,0.008250318486951892,20
non_initiated_within_90_days,market_code,0.10039013465078994,0.015384896060428057,20
non_initiated_within_90_days,care_setting,0.0015675144254717166,0.003355939161983225,20
non_initiated_within_90_days,provider_volume_band,0.007316969929372391,0.005407400290810845,20
non_initiated_within_90_days,insurance_type,0.058214411936604524,0.01620920725517842,20
non_initiated_within_90_days,calendar_period,0.0,0.0,20
discontinued_within_12_months,age_at_index,0.002003912179182543,0.0032469487935889436,20
discontinued_within_12_months,comorbidity_score,-0.00891674540329199,0.0035727873761296587,20
discontinued_within_12_months,frailty_proxy,0.0007209072403173145,0.0007540881025320421,20
discontinued_within_12_months,access_index,-0.004569973743516512,0.0058742038133713205,20
discontinued_within_12_months,prior_healthcare_utilization_180d,0.003982188046581905,0.005060236537837063,20
discontinued_within_12_months,time_since_diagnosis_days,-0.0003550623066724684,0.00023039231594130694,20
discontinued_within_12_months,time_since_metastasis_days,-0.00032926072244924556,0.0002341672324027879,20
discontinued_within_12_months,metastatic_site,-0.004978336130617422,0.008078856558252618,20
discontinued_within_12_months,market_code,-0.01520157461645542,0.009632186450458543,20
discontinued_within_12_months,care_setting,-0.003342709968939342,0.006200316110241555,20
discontinued_within_12_months,provider_specialty,-0.0010053413421795055,0.006097167524274417,20
discontinued_within_12_months,provider_volume_band,-0.004927395941924465,0.009973473229612081,20
discontinued_within_12_months,referral_proxy,-0.011980415780140105,0.011592558656240894,20
discontinued_within_12_months,insurance_type,-0.015765081529308077,0.015691420969318175,20
discontinued_within_12_months,calendar_period,0.0,0.0,20
switched_treatment,age_at_index,-0.0003574875921532841,0.005393041550646262,20
switched_treatment,comorbidity_score,0.0004526913120955267,0.005650784286337425,20
switched_treatment,frailty_proxy,-0.0005487882567957903,0.00428591456590316,20
switched_treatment,access_index,0.006209267738606207,0.007846190982303408,20
switched_treatment,prior_healthcare_utilization_180d,-0.0010617311747769822,0.004546461168435118,20
switched_treatment,time_since_diagnosis_days,-0.00470722255015805,0.007379701775829861,20
switched_treatment,time_since_metastasis_days,-0.001016608552515022,0.007163468340653211,20
switched_treatment,metastatic_site,-0.0037078431546960903,0.007372509838598653,20
switched_treatment,market_code,0.016026937590451523,0.02437795419261234,20
switched_treatment,care_setting,0.017482917863366098,0.019371861106828946,20
switched_treatment,provider_specialty,-0.0008703037751709886,0.011385015356535234,20
switched_treatment,provider_volume_band,0.014603171797951559,0.004290077524996867,20
switched_treatment,referral_proxy,-0.005742444872580887,0.0041304094517681696,20
switched_treatment,insurance_type,-0.029768635074549875,0.042759826179506376,20
switched_treatment,calendar_period,0.0,0.0,20
restarted_after_gap,age_at_index,0.0010394534701289205,0.008771755931973721,20
restarted_after_gap,comorbidity_score,0.023122773764958977,0.017247481044206328,20
restarted_after_gap,frailty_proxy,0.0107686722820478,0.007439788107547412,20
restarted_after_gap,access_index,0.0011018152917249419,0.0026756385203697214,20
restarted_after_gap,prior_healthcare_utilization_180d,0.01090403216807872,0.010739839618964447,20
restarted_after_gap,time_since_diagnosis_days,-0.00235119323887662,0.0015679390629231935,20
restarted_after_gap,time_since_metastasis_days,-0.001557174956885704,0.0024962744860891144,20
restarted_after_gap,metastatic_site,-0.005252325769478786,0.019884432398594658,20
restarted_after_gap,market_code,-0.0068502692106175685,0.018294508752201344,20
restarted_after_gap,care_setting,-0.013727062622265158,0.007738304108079828,20
restarted_after_gap,provider_specialty,0.0072770689647243675,0.005459382354042962,20
restarted_after_gap,provider_volume_band,-0.007665259879609848,0.014800400181261036,20
restarted_after_gap,referral_proxy,-0.01255782813127985,0.013731359239197362,20
restarted_after_gap,insurance_type,0.00578821480600242,0.015354088404751474,20
restarted_after_gap,calendar_period,0.0,0.0,20
