target_name,bin,n,mean_predicted_probability,observed_event_rate
non_initiated_within_90_days,0,57,0.09947339704917584,0.12280701754385964
non_initiated_within_90_days,1,56,0.12344673055623455,0.07142857142857142
non_initiated_within_90_days,2,57,0.14008089605868515,0.21052631578947367
non_initiated_within_90_days,3,56,0.15248701111640808,0.14285714285714285
non_initiated_within_90_days,4,57,0.17183926084144674,0.2807017543859649
non_initiated_within_90_days,5,56,0.19584587566053635,0.17857142857142858
non_initiated_within_90_days,6,56,0.2229292265847314,0.26785714285714285
non_initiated_within_90_days,7,57,0.2497948651527745,0.2807017543859649
non_initiated_within_90_days,8,56,0.3046864873172358,0.48214285714285715
non_initiated_within_90_days,9,57,0.4105027596599547,0.42105263157894735
discontinued_within_12_months,0,40,0.23722910503158356,0.425
discontinued_within_12_months,1,39,0.2885736764419062,0.38461538461538464
discontinued_within_12_months,2,39,0.31382471417178015,0.41025641025641024
discontinued_within_12_months,3,39,0.3335158437186509,0.38461538461538464
discontinued_within_12_months,4,39,0.35181110041337516,0.46153846153846156
discontinued_within_12_months,5,39,0.3678978733716652,0.3076923076923077
discontinued_within_12_months,6,39,0.3883762289139684,0.38461538461538464
discontinued_within_12_months,7,39,0.41215839515597746,0.41025641025641024
discontinued_within_12_months,8,39,0.43401844601866174,0.358974358974359
discontinued_within_12_months,9,40,0.47418685509127584,0.325
switched_treatment,0,28,0.04866343564735787,0.07142857142857142
switched_treatment,1,27,0.07183140357832486,0.14814814814814814
switched_treatment,2,27,0.08844472593280618,0.07407407407407407
switched_treatment,3,27,0.10525997537755716,0.07407407407407407
switched_treatment,4,27,0.12043658994276468,0.07407407407407407
switched_treatment,5,27,0.13236682159662405,0.07407407407407407
switched_treatment,6,27,0.1476457196406041,0.1111111111111111
switched_treatment,7,27,0.164052036271232,0.07407407407407407
switched_treatment,8,27,0.19606776282145974,0.18518518518518517
switched_treatment,9,27,0.27432927636131,0.18518518518518517
restarted_after_gap,0,16,0.2609756361925965,0.25
restarted_after_gap,1,15,0.3457611541495066,0.26666666666666666
restarted_after_gap,2,15,0.38591270802932914,0.4666666666666667
restarted_after_gap,3,15,0.4131932248222301,0.4
restarted_after_gap,4,15,0.44709334127994577,0.6666666666666666
restarted_after_gap,5,15,0.48110565526121857,0.3333333333333333
restarted_after_gap,6,15,0.4982475031224418,0.06666666666666667
restarted_after_gap,7,15,0.5208375423412144,0.4666666666666667
restarted_after_gap,8,15,0.5652115532929703,0.4666666666666667
restarted_after_gap,9,16,0.6394175368569673,0.375
