analysis_type,target,feature_name,feature_type,level,n,event_n,event_rate,reference_n,reference_event_rate,positive_group_mean,negative_group_mean,standardized_mean_difference,log_odds_coefficient,odds_ratio,ci_lower,ci_upper,association_direction,magnitude,missingness,small_cell_flag,evidence_type,causal_interpretation_allowed,limitation,risk_difference
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,age_at_index,numeric,PER_SD,2281,581,0.25471284524331433,1700.0,0.0,69.35456110154905,69.32,0.004165614698021696,0.004165851421254904,1.0041745406420979,0.9139038115520672,1.1033617491552823,HIGHER_RISK,0.004165851421254904,0.0,False,OBSERVED DESCRIPTIVE,False,Univariate association; confounding and synthetic generation effects remain.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,comorbidity_score,numeric,PER_SD,2281,581,0.25471284524331433,1700.0,0.0,1.8881239242685026,1.65,0.17542212620482353,0.1707807570779943,1.1862306478366773,1.0819093259868253,1.3006109810390507,HIGHER_RISK,0.1707807570779943,0.0,False,ASSOCIATED,False,Univariate association; confounding and synthetic generation effects remain.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,frailty_proxy,numeric,PER_SD,2281,581,0.25471284524331433,1700.0,0.0,0.3108795180722892,0.31010764705882354,0.004722077234727774,0.004719697912180715,1.0047308532293762,0.914458358023302,1.1039147694085671,HIGHER_RISK,0.004719697912180715,0.0,False,OBSERVED DESCRIPTIVE,False,Univariate association; confounding and synthetic generation effects remain.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,access_index,numeric,PER_SD,2281,581,0.25471284524331433,1700.0,0.0,0.636342512908778,0.6778670588235293,-0.2529112464489143,-0.25193057802895935,0.7772986978036178,0.7072645902256814,0.8542676587476372,LOWER_RISK,0.25193057802895935,0.0,False,ASSOCIATED,False,Univariate association; confounding and synthetic generation effects remain.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,prior_healthcare_utilization_180d,numeric,PER_SD,2281,581,0.25471284524331433,,,,,,,1.0,1.0,1.0,NO_VARIATION,0.0,0.0,,NOT VERIFIED,,Feature has zero variance in this target risk set.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,prior_treatment_count,numeric,PER_SD,2281,581,0.25471284524331433,,,,,,,1.0,1.0,1.0,NO_VARIATION,0.0,0.0,,NOT VERIFIED,,Feature has zero variance in this target risk set.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,time_since_diagnosis_days,numeric,PER_SD,2281,581,0.25471284524331433,,,,,,,1.0,1.0,1.0,NO_VARIATION,0.0,0.0,,NOT VERIFIED,,Feature has zero variance in this target risk set.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,time_since_metastasis_days,numeric,PER_SD,2281,581,0.25471284524331433,,,,,,,1.0,1.0,1.0,NO_VARIATION,0.0,0.0,,NOT VERIFIED,,Feature has zero variance in this target risk set.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,prior_treatment_status,categorical,NO_PRIOR_TREATMENT,2281,581,0.25471284524331433,0.0,,,,,0.0,1.0,1.0,1.0,NO_VARIATION,0.0,0.0,False,NOT VERIFIED,False,Feature has one observed level and cannot estimate an association.,
UNIVARIATE_ASSOCIATION,non_initiated_within_90_days,disease_state,categorical,mHSPC,2281,581,0.25471284524331433,0.0,,,,,0.0,1.0,1.0,1.0,NO_VARIATION,0.0,0.0,False,NOT VERIFIED,False,Feature has one observed level and cannot estimate an association.,
